"postage",": the fee for postal service : adhesive stamps or printed indicia representing postal fees"
"postponement",": to put off to a later time : DEFER : to place later (as in a sentence) than the normal position in English : to place later in order of precedence, preference, or importance"
"posts",": a piece (as of timber or metal) fixed firmly in an upright position especially as a stay or support : PILLAR, COLUMN : a pole or stake set up to mark or indicate something : a pole that marks the starting or finishing point of a horse race : GOALPOST : a football passing play in which the receiver runs downfield before turning towards the middle of the field : the metal stem of a pierced earring : a metallic fitting attached to an electrical device (such as a storage battery) for convenience in making connections"
"postseason",": a period of time immediately after the regular season when teams play against each other in a series of games to determine a champion"
"posture",": the position or bearing of the body whether characteristic or assumed for a special purpose : the pose of a model or artistic figure : state or condition at a given time especially with respect to capability in particular circumstances : a conscious mental or outward behavioral attitude"
"postwar",": occurring or existing after a war : occurring or existing after World War II"
"pot",": a usually rounded metal or earthen container used chiefly for domestic purposes (as in cooking or for holding liquids or growing plants) : any of various technical or industrial vessels or enclosures resembling or likened to a household pot : POTFUL : an enclosed framework of wire, wood, or wicker for catching fish or lobsters : a large amount (as of money) : the total of the bets at stake at one time : one round in a poker game : the common fund of a group : POTSHOT : POTBELLY : RUIN : a shot in snooker in which a ball is pocketed : a vessel for urination and defecation: such as : TOILET sense 1a : POTTY"
"potassium",": a silver-white soft light low-melting monovalent metallic element of the alkali metal group that occurs abundantly in nature especially combined in minerals
see Chemical Elements Table"
"potato",": SWEET POTATO : an erect South American herb (Solanum tuberosum) of the nightshade family widely cultivated for its edible starchy tuber : the tuber of a potato"
"potatoes",": SWEET POTATO : an erect South American herb (Solanum tuberosum) of the nightshade family widely cultivated for its edible starchy tuber : the tuber of a potato"
"potency",": FORCE, POWER : the quality or state of being potent : the ability or capacity to achieve or bring about a particular result : POTENTIALITY sense 1"
"potent",": having or wielding force, authority, or influence : POWERFUL : achieving or bringing about a particular result : EFFECTIVE : chemically or medicinally effective : rich in a characteristic constituent : able to copulate"
"potential",": existing in possibility : capable of development into actuality : expressing possibility : of, relating to, or constituting a verb phrase expressing possibility, liberty, or power by the use of an auxiliary with the infinitive of the verb (as in ""it may rain"")"
"potentially",": in a potential or possible state or condition"
"potentials",": existing in possibility : capable of development into actuality : expressing possibility : of, relating to, or constituting a verb phrase expressing possibility, liberty, or power by the use of an auxiliary with the infinitive of the verb (as in ""it may rain"")"
"potion",": a mixture of liquids (such as liquor or medicine)"
"pots","plain old telephone system; plain old telephone service"
"potter",": one that makes pottery"
"pottery",": a place where clayware is made and fired : the art or craft of the potter : the manufacture of clayware : CLAYWARE : earthenware as distinguished from porcelain and stoneware and from brick and tile"
"potty",": a small chair that has an open seat with a receptacle underneath and that is used for toilet training : a small child's pot for urination or defecation : TOILET, BATHROOM"
"pouch",": a small drawstring bag carried on the person : a bag of small or moderate size for storing or transporting goods : a lockable bag for first-class mail or diplomatic dispatches : POCKET : PACKET : an anatomical structure resembling a pouch"
"poultry",": domesticated birds kept for eggs or meat"
"pound",": any of various units of mass and weight : a unit now in general use among English-speaking peoples equal to 16 avoirdupois ounces or 7000 grains or 0.4536 kilogram
see Weights and Measures Table : the basic monetary unit of the United Kingdom : any of numerous basic monetary units of other countries (such as Egypt, Lebanon, Syria)
see Money Table : the basic monetary unit of Ireland from 1921 to 2001 : LIRA entry 2 : the basic monetary unit of Cyprus from 1960 to 2008"
"pounded",": any of various units of mass and weight : a unit now in general use among English-speaking peoples equal to 16 avoirdupois ounces or 7000 grains or 0.4536 kilogram
see Weights and Measures Table : the basic monetary unit of the United Kingdom : any of numerous basic monetary units of other countries (such as Egypt, Lebanon, Syria)
see Money Table : the basic monetary unit of Ireland from 1921 to 2001 : LIRA entry 2 : the basic monetary unit of Cyprus from 1960 to 2008"
"pounding",": any of various units of mass and weight : a unit now in general use among English-speaking peoples equal to 16 avoirdupois ounces or 7000 grains or 0.4536 kilogram
see Weights and Measures Table : the basic monetary unit of the United Kingdom : any of numerous basic monetary units of other countries (such as Egypt, Lebanon, Syria)
see Money Table : the basic monetary unit of Ireland from 1921 to 2001 : LIRA entry 2 : the basic monetary unit of Cyprus from 1960 to 2008"
"pounds",": any of various units of mass and weight : a unit now in general use among English-speaking peoples equal to 16 avoirdupois ounces or 7000 grains or 0.4536 kilogram
see Weights and Measures Table : the basic monetary unit of the United Kingdom : any of numerous basic monetary units of other countries (such as Egypt, Lebanon, Syria)
see Money Table : the basic monetary unit of Ireland from 1921 to 2001 : LIRA entry 2 : the basic monetary unit of Cyprus from 1960 to 2008"
"pour",": to cause to flow in a stream : to dispense from a container : to supply or produce freely or copiously : to give full expression to : VENT"
"poured",": to cause to flow in a stream : to dispense from a container : to supply or produce freely or copiously : to give full expression to : VENT"
"pouring",": to cause to flow in a stream : to dispense from a container : to supply or produce freely or copiously : to give full expression to : VENT"
"pours",": to cause to flow in a stream : to dispense from a container : to supply or produce freely or copiously : to give full expression to : VENT"
"pouty",": SULKY sense 1 : expressive of displeasure"
"poverty",": the state of one who lacks a usual or socially acceptable amount of money or material possessions : renunciation as a member of a religious order of the right as an individual to own property : SCARCITY, DEARTH : debility due to malnutrition : lack of fertility"
"pow",": HEAD, POLL"
"powder",": to sprinkle or cover with or as if with powder : to reduce or convert to powder : to hit very hard"
"powdered",": to sprinkle or cover with or as if with powder : to reduce or convert to powder : to hit very hard"
"powders",": to sprinkle or cover with or as if with powder : to reduce or convert to powder : to hit very hard"
"power",": ability to act or produce an effect : ability to get extra-base hits : capacity for being acted upon or undergoing an effect : legal or official authority, capacity, or right : possession of control, authority, or influence over others : one having such power : a sovereign state : a controlling group : ESTABLISHMENT : a force of armed men : a large number or quantity : physical might : mental or moral efficacy : political control or influence : an order of angels
see CELESTIAL HIERARCHY : the number of times as indicated by an exponent that a number occurs as a factor in a product : the product itself : CARDINAL NUMBER sense 2 : a source or means of supplying energy : ELECTRICITY : MOTIVE POWER : the time rate at which work is done or energy emitted or transferred : MAGNIFICATION sense 2b : SCOPE entry 1 sense 3 : the probability of rejecting the null hypothesis in a statistical test when a particular alternative hypothesis happens to be true"
"powered",": ability to act or produce an effect : ability to get extra-base hits : capacity for being acted upon or undergoing an effect : legal or official authority, capacity, or right : possession of control, authority, or influence over others : one having such power : a sovereign state : a controlling group : ESTABLISHMENT : a force of armed men : a large number or quantity : physical might : mental or moral efficacy : political control or influence : an order of angels
see CELESTIAL HIERARCHY : the number of times as indicated by an exponent that a number occurs as a factor in a product : the product itself : CARDINAL NUMBER sense 2 : a source or means of supplying energy : ELECTRICITY : MOTIVE POWER : the time rate at which work is done or energy emitted or transferred : MAGNIFICATION sense 2b : SCOPE entry 1 sense 3 : the probability of rejecting the null hypothesis in a statistical test when a particular alternative hypothesis happens to be true"
"powerful",": having great power, prestige, or influence : leading to many or important deductions"
"powerfully",": in a powerful manner : to a strong or powerful extent"
"powerhouse",": POWER PLANT sense 1 : a source of influence or inspiration : one having great power: such as : one having great drive, energy, or ability : an athletic team characterized by strong aggressive play"
"powering",": ability to act or produce an effect : ability to get extra-base hits : capacity for being acted upon or undergoing an effect : legal or official authority, capacity, or right : possession of control, authority, or influence over others : one having such power : a sovereign state : a controlling group : ESTABLISHMENT : a force of armed men : a large number or quantity : physical might : mental or moral efficacy : political control or influence : an order of angels
see CELESTIAL HIERARCHY : the number of times as indicated by an exponent that a number occurs as a factor in a product : the product itself : CARDINAL NUMBER sense 2 : a source or means of supplying energy : ELECTRICITY : MOTIVE POWER : the time rate at which work is done or energy emitted or transferred : MAGNIFICATION sense 2b : SCOPE entry 1 sense 3 : the probability of rejecting the null hypothesis in a statistical test when a particular alternative hypothesis happens to be true"
"powerless",": devoid of strength or resources : lacking the authority or capacity to act"
"powers","Hiram 1805–1873 American sculptor"
"pox",": a virus disease (such as chicken pox) characterized by pustules or eruptions : SMALLPOX : SYPHILIS : a disastrous evil : PLAGUE, CURSE"
"practical",": of, relating to, or manifested in practice or action : not theoretical or ideal : being such in practice or effect : VIRTUAL : actively engaged in some course of action or occupation : capable of being put to use or account : USEFUL : disposed to action as opposed to speculation or abstraction : qualified by practice or practical training : designed to supplement theoretical training by experience : concerned with voluntary action and ethical decisions"
"practically",": in a practical manner : ALMOST, NEARLY"
"practice",": CARRY OUT, APPLY : to do or perform often, customarily, or habitually : to be professionally engaged in : to perform or work at repeatedly so as to become proficient : to train by repeated exercises : PLOT"
"practiced",": EXPERIENCED, SKILLED : learned by practice"
"practices",": CARRY OUT, APPLY : to do or perform often, customarily, or habitually : to be professionally engaged in : to perform or work at repeatedly so as to become proficient : to train by repeated exercises : PLOT"
"practicing",": actively engaged in a specified career or way of life"
"practise",": CARRY OUT, APPLY : to do or perform often, customarily, or habitually : to be professionally engaged in : to perform or work at repeatedly so as to become proficient : to train by repeated exercises : PLOT"
"practised",": CARRY OUT, APPLY : to do or perform often, customarily, or habitually : to be professionally engaged in : to perform or work at repeatedly so as to become proficient : to train by repeated exercises : PLOT"
"practising",": CARRY OUT, APPLY : to do or perform often, customarily, or habitually : to be professionally engaged in : to perform or work at repeatedly so as to become proficient : to train by repeated exercises : PLOT"
"practitioner",": one who practices : one who practices a profession : an authorized healer"
"practitioners",": one who practices : one who practices a profession : an authorized healer"
"pragmatic",": relating to matters of fact or practical affairs often to the exclusion of intellectual or artistic matters : practical as opposed to idealistic : relating to or being in accordance with philosophical pragmatism : BUSY : OFFICIOUS : OPINIONATED"
"prairie",": land in or predominantly in grass : a tract of grassland: such as : a large area of level or rolling land in the Mississippi River valley that in its natural uncultivated state usually has deep fertile soil, a cover of tall coarse grasses, and few trees : one of the dry treeless plateaus east of the Rocky Mountains that merge on their east side with the prairies proper and are characterized by shorter grasses and drier less fertile soil"
"praise",": to express a favorable judgment of : COMMEND : to glorify (a god or saint) especially by the attribution of perfections"
"praised",": to express a favorable judgment of : COMMEND : to glorify (a god or saint) especially by the attribution of perfections"
"praises",": to express a favorable judgment of : COMMEND : to glorify (a god or saint) especially by the attribution of perfections"
"praising",": to express a favorable judgment of : COMMEND : to glorify (a god or saint) especially by the attribution of perfections"
"prank",": TRICK: : a malicious act : a mildly mischievous act : a ludicrous act"
"pranks",": TRICK: : a malicious act : a mildly mischievous act : a ludicrous act"
"prawn",": any of various widely distributed edible decapod crustaceans: such as : one (as of the genera Pandalus and Penaeus) that resembles shrimp and has a large compressed abdomen : SHRIMP : a large shrimp : LANGOUSTINE"
"pray",": ENTREAT, IMPLORE : to get or bring by praying"
"prayed",": ENTREAT, IMPLORE : to get or bring by praying"
"prayer",": an address (such as a petition) to God or a god in word or thought : a set order of words used in praying : an earnest request or wish : the act or practice of praying to God or a god : a religious service consisting chiefly of prayers : something prayed for : a slight chance"
"prayers",": an address (such as a petition) to God or a god in word or thought : a set order of words used in praying : an earnest request or wish : the act or practice of praying to God or a god : a religious service consisting chiefly of prayers : something prayed for : a slight chance"
"praying",": ENTREAT, IMPLORE : to get or bring by praying"
"prays",": ENTREAT, IMPLORE : to get or bring by praying"
"preach",": to deliver a sermon : to urge acceptance or abandonment of an idea or course of action : to exhort in an officious or tiresome manner"
"preached",": to deliver a sermon : to urge acceptance or abandonment of an idea or course of action : to exhort in an officious or tiresome manner"
"preacher",": one who preaches: such as : a person who delivers a sermon publicly : one whose function is to preach sermons : PASTOR, MINISTER : one who inculcates or exhorts something earnestly or officiously"
"preachers",": one who preaches: such as : a person who delivers a sermon publicly : one whose function is to preach sermons : PASTOR, MINISTER : one who inculcates or exhorts something earnestly or officiously"
"preaching",": to deliver a sermon : to urge acceptance or abandonment of an idea or course of action : to exhort in an officious or tiresome manner"
"precarious",": dependent on chance circumstances, unknown conditions, or uncertain developments : characterized by a lack of security or stability that threatens with danger : dependent on uncertain premises : DUBIOUS : depending on the will or pleasure of another"
"precaution",": care taken in advance : FORESIGHT : a measure taken beforehand to prevent harm or secure good : SAFEGUARD"
"precautions",": care taken in advance : FORESIGHT : a measure taken beforehand to prevent harm or secure good : SAFEGUARD"
"preceded",": to surpass in rank, dignity, or importance : to be, go, or come ahead or in front of : to be earlier than : to cause to be preceded : PREFACE"
"precedence",": priority of importance : the right to superior honor on a ceremonial or formal occasion : the order of ceremonial or formal preference : the fact of coming or occurring earlier in time : ANTECEDENT"
"precedent",": prior in time, order, arrangement, or significance"
"precedes",": to surpass in rank, dignity, or importance : to be, go, or come ahead or in front of : to be earlier than : to cause to be preceded : PREFACE"
"preceding",": existing, coming, or occurring immediately before in time or place"
"precinct",": a part of a territory with definite bounds or functions often established for administrative purposes : DISTRICT: such as : a subdivision of a county, town, city, or ward for election purposes : a division of a city for police control : an enclosure bounded by the walls of a building : a sphere of thought, action, or influence : the region immediately surrounding a place : ENVIRONS : PLACE, LOCALE : BOUNDARY"
"precincts",": a part of a territory with definite bounds or functions often established for administrative purposes : DISTRICT: such as : a subdivision of a county, town, city, or ward for election purposes : a division of a city for police control : an enclosure bounded by the walls of a building : a sphere of thought, action, or influence : the region immediately surrounding a place : ENVIRONS : PLACE, LOCALE : BOUNDARY"
"precious",": of great value or high price : highly esteemed or cherished : excessively refined : AFFECTED entry 2 : GREAT, THOROUGHGOING"
"precipitation",": the quality or state of being precipitate : HASTINESS : an act, process, or instance of precipitating : the process of forming a precipitate : something precipitated: such as : a deposit on the earth of hail, mist, rain, sleet, or snow : the quantity of water deposited : PRECIPITATE sense 1"
"precise",": exactly or sharply defined or stated : minutely exact : strictly conforming to a pattern, standard, or convention : distinguished from every other"
"precisely",": in a precise manner : EXACTLY : quite so"
"precision",": the quality or state of being precise : EXACTNESS : the degree of refinement with which an operation is performed or a measurement stated
compare ACCURACY sense 2b : the accuracy (as in binary or decimal places) with which a number can be represented usually expressed in terms of the number of computer words available for representation : RELEVANCE sense 2"
"preclude",": to make impossible by necessary consequence : rule out in advance : CLOSE"
"precursor",": one that precedes and indicates the approach of another : PREDECESSOR : a substance, cell, or cellular component from which another substance, cell, or cellular component is formed"
"precursors",": one that precedes and indicates the approach of another : PREDECESSOR : a substance, cell, or cellular component from which another substance, cell, or cellular component is formed"
"predator",": an organism that primarily obtains food by the killing and consuming of other organisms : an organism that lives by predation : an animal that preys on other animals : one who injures or exploits others for personal gain or profit see also SEXUAL PREDATOR"
"predators",": an organism that primarily obtains food by the killing and consuming of other organisms : an organism that lives by predation : an animal that preys on other animals : one who injures or exploits others for personal gain or profit see also SEXUAL PREDATOR"
"predatory",": of, relating to, or practicing plunder, pillage, or rapine : inclined or intended to injure or exploit others for personal gain or profit : living by predation : PREDACEOUS : adapted to predation"
"predecessor",": one that precedes : a person who has previously occupied a position or office to which another has succeeded : ANCESTOR"
"predecessors",": one that precedes : a person who has previously occupied a position or office to which another has succeeded : ANCESTOR"
"predetermined",": FOREORDAIN, PREDESTINE : to determine beforehand : to impose a direction or tendency on beforehand"
"predicament",": the character, status, or classification assigned by a predication : CATEGORY sense 1 : CONDITION, STATE : a difficult, perplexing, or trying situation"
"predict",": to declare or indicate in advance : foretell on the basis of observation, experience, or scientific reason"
"predictable",": capable of being predicted : able to be known, seen, or declared in advance : behaving in a way that is expected"
"predicted",": to declare or indicate in advance : foretell on the basis of observation, experience, or scientific reason"
"predicting",": to declare or indicate in advance : foretell on the basis of observation, experience, or scientific reason"
"prediction",": an act of predicting : something that is predicted : FORECAST"
"predictions",": an act of predicting : something that is predicted : FORECAST"
"predictive",": of, relating to, or usable or valuable for prediction : based on or generated by using methods of prediction"
"predictor",": to declare or indicate in advance : foretell on the basis of observation, experience, or scientific reason"
"predicts",": to declare or indicate in advance : foretell on the basis of observation, experience, or scientific reason"
"predominant",": having superior strength, influence, or authority : PREVAILING : being most frequent or common"
"predominantly",": for the most part : MAINLY"
"preen",": to groom with the bill especially by rearranging the barbs and barbules of the feathers and by distributing oil from the uropygial gland : to dress or smooth (oneself) up : PRIMP : to pride or congratulate (oneself) on an achievement"
"preface",": a variable doxology beginning with the Sursum Corda and ending with the Sanctus in traditional eucharistic liturgies : the introductory remarks of a speaker or author : APPROACH, PRELIMINARY"
"prefect",": any of various high officials or magistrates of differing functions and ranks in ancient Rome : a chief officer or chief magistrate : a student monitor in a usually private school"
"prefecture",": the office or term of office of a prefect : the official residence of a prefect : the district governed by a prefect"
"prefer",": to promote or advance to a rank or position : to like better or best : to give (a creditor) priority : to put or set forward or before someone : RECOMMEND : to bring or lay against someone : to bring forward or lay before one for consideration"
"preferable",": having greater value or desirability : being preferred"
"preferably",": by choice or preference"
"preference",": the act of preferring : the state of being preferred : the power or opportunity of choosing : one that is preferred : the act, fact, or principle of giving advantages to some over others : priority in the right to demand and receive satisfaction of an obligation : ORIENTATION sense 2b"
"preferences",": the act of preferring : the state of being preferred : the power or opportunity of choosing : one that is preferred : the act, fact, or principle of giving advantages to some over others : priority in the right to demand and receive satisfaction of an obligation : ORIENTATION sense 2b"
"preferential",": showing preference : employing or creating a preference in trade relations : designed to permit expression of preference among candidates : giving preference especially in hiring to union members"
"preferred",": liked better or best : used or wanted in preference to others : having special status or receiving special treatment or benefits"
"preferring",": to promote or advance to a rank or position : to like better or best : to give (a creditor) priority : to put or set forward or before someone : RECOMMEND : to bring or lay against someone : to bring forward or lay before one for consideration"
"prefers",": to promote or advance to a rank or position : to like better or best : to give (a creditor) priority : to put or set forward or before someone : RECOMMEND : to bring or lay against someone : to bring forward or lay before one for consideration"
"prefix",": to fix or appoint beforehand : to place in front : to add as a prefix"
"pregnancies",": the quality of being pregnant (as in meaning) : the condition of being pregnant : GESTATION : an instance of being pregnant"
"pregnancy",": the quality of being pregnant (as in meaning) : the condition of being pregnant : GESTATION : an instance of being pregnant"
"pregnant",": containing a developing embryo, fetus, or unborn offspring within the body : GRAVID : FULL, TEEMING : rich in significance or implication : having possibilities of development or consequence : involving important issues : MOMENTOUS : abounding in fancy, wit, or resourcefulness : INVENTIVE : COGENT : INCLINED, DISPOSED"
"prehistoric",": of, relating to, or existing in times antedating written history : of or relating to a language in a period of its development from which contemporary records of its sounds and forms have not been preserved : regarded as being outdated or outmoded"
"prejudice",": an irrational attitude of hostility directed against an individual, a group, a race, or their supposed characteristics : an adverse opinion or leaning formed without just grounds or before sufficient knowledge : preconceived judgment or opinion : an instance of such opinion or judgment : injury or damage resulting from some judgment or action of another in disregard of one's rights : detriment to one's legal rights or claims"
"prejudiced",": resulting from or having a prejudice or bias for or especially against"
"prejudices",": an irrational attitude of hostility directed against an individual, a group, a race, or their supposed characteristics : an adverse opinion or leaning formed without just grounds or before sufficient knowledge : preconceived judgment or opinion : an instance of such opinion or judgment : injury or damage resulting from some judgment or action of another in disregard of one's rights : detriment to one's legal rights or claims"
"preliminary",": coming before and usually forming a necessary prelude to something else"
"prelude",": an introductory performance, action, or event preceding and preparing for the principal or a more important matter : a musical section or movement introducing the theme or chief subject (as of a fugue or suite) or serving as an introduction to an opera or oratorio : an opening voluntary : a separate concert piece usually for piano or orchestra and based entirely on a short motif"
"premature",": happening, arriving, existing, or performed before the proper, usual, or intended time : born after a gestation period of less than 37 weeks"
"prematurely",": happening, arriving, existing, or performed before the proper, usual, or intended time : born after a gestation period of less than 37 weeks"
"premier",": first in position, rank, or importance : first in time : EARLIEST"
"premiere",": a first performance or exhibition : the chief actress of a theatrical cast"
"premiered",": a first performance or exhibition : the chief actress of a theatrical cast"
"premieres",": a first performance or exhibition : the chief actress of a theatrical cast"
"premiers",": first in position, rank, or importance : first in time : EARLIEST"
"premiership",": first in position, rank, or importance : first in time : EARLIEST"
"premise",": a proposition antecedently supposed or proved as a basis of argument or inference : either of the first two propositions of a syllogism from which the conclusion is drawn : something assumed or taken for granted : PRESUPPOSITION : matters previously stated : the preliminary and explanatory part of a deed or of a bill in equity : a tract of land with the buildings thereon : a building or part of a building usually with its appurtenances (such as grounds)"
"premises",": a proposition antecedently supposed or proved as a basis of argument or inference : either of the first two propositions of a syllogism from which the conclusion is drawn : something assumed or taken for granted : PRESUPPOSITION : matters previously stated : the preliminary and explanatory part of a deed or of a bill in equity : a tract of land with the buildings thereon : a building or part of a building usually with its appurtenances (such as grounds)"
"premium",": a reward or recompense for a particular act : a sum over and above a regular price paid chiefly as an inducement or incentive : a sum in advance of or in addition to the nominal value of something : something given free or at a reduced price with the purchase of a product or service : the consideration paid for a contract of insurance : a high value or a value in excess of that normally or usually expected"
"premiums",": a reward or recompense for a particular act : a sum over and above a regular price paid chiefly as an inducement or incentive : a sum in advance of or in addition to the nominal value of something : something given free or at a reduced price with the purchase of a product or service : the consideration paid for a contract of insurance : a high value or a value in excess of that normally or usually expected"
"prenatal",": occurring, existing, performed, or used before birth : providing or receiving prenatal medical care"
"prentice",": APPRENTICE sense 1, LEARNER"
"preoccupied",": previously applied to another group and unavailable for use in a new sense : lost in thought : absorbed in some preoccupation : already occupied"
"preorder",": to order (something) in advance : to request to purchase (something) before it is available for sale"
"prep",": PREPARATION : PREPARATORY SCHOOL : a preliminary trial for a racehorse"
"prepaid",": to pay or pay the charge on in advance"
"preparation",": the action or process of making something ready for use or service or of getting ready for some occasion, test, or duty : a state of being prepared : a preparatory act or measure : something that is prepared : a medicinal substance made ready for use"
"preparations",": the action or process of making something ready for use or service or of getting ready for some occasion, test, or duty : a state of being prepared : a preparatory act or measure : something that is prepared : a medicinal substance made ready for use"
"preparatory","Definition not found"
"prepare","Definition not found"
"prepared","Definition not found"
"preparedness","Definition not found"
"prepares","Definition not found"
"preparing","Definition not found"
"preposterous","Definition not found"
"prepping","Definition not found"
"prequel","Definition not found"
"prerequisite","Definition not found"
"prerogative","Definition not found"
"preschool","Definition not found"
"prescribe","Definition not found"
"prescribed","Definition not found"
"prescribing","Definition not found"
"prescription","Definition not found"
"prescriptions","Definition not found"
"preseason","Definition not found"
"presence",": the fact or condition of being present (see PRESENT entry 3) : the part of space within one's immediate vicinity : the neighborhood of one of superior especially royal rank : COMPANY sense 2a : one that is present: such as : the actual person or thing that is present : something present of a visible or concrete nature : the bearing, carriage, or air of a person : stately or distinguished bearing : a noteworthy quality of poise and effectiveness : something (such as a spirit) felt or believed to be present"
"present",": something presented : GIFT"
"presentation",": the act of presenting : the act, power, or privilege especially of a patron of applying to the bishop or ordinary for instituting someone into a benefice : something presented: such as : a symbol or image that represents something : something offered or given : GIFT : something set forth for the attention of the mind : a descriptive or persuasive account (as by a salesman of a product) : a symptom or group of symptoms observed or detected upon initial examination or disclosed by a patient to the physician : the position in which the fetus lies in the uterus in labor with respect to the opening of the uterus : an immediate object of perception, cognition, or memory : a church feast on November 21 celebrating the presentation of the Virgin Mary in the temple : the method by which radio, navigation, or radar information is given to the operator (such as the pilot of an airplane)"
"presentations",": the act of presenting : the act, power, or privilege especially of a patron of applying to the bishop or ordinary for instituting someone into a benefice : something presented: such as : a symbol or image that represents something : something offered or given : GIFT : something set forth for the attention of the mind : a descriptive or persuasive account (as by a salesman of a product) : a symptom or group of symptoms observed or detected upon initial examination or disclosed by a patient to the physician : the position in which the fetus lies in the uterus in labor with respect to the opening of the uterus : an immediate object of perception, cognition, or memory : a church feast on November 21 celebrating the presentation of the Virgin Mary in the temple : the method by which radio, navigation, or radar information is given to the operator (such as the pilot of an airplane)"
"presented",": something presented : GIFT"
"presenter",": one who presents something : a person who formally gives or bestows something (such as an award) or who brings something before the public : a television or radio broadcaster who delivers news or information to an audience : a television or radio host : EMCEE"
"presenters",": one who presents something : a person who formally gives or bestows something (such as an award) or who brings something before the public : a television or radio broadcaster who delivers news or information to an audience : a television or radio host : EMCEE"
"presenting",": something presented : GIFT"
"presently",": at once : without undue delay : BEFORE LONG : at the present time : NOW"
"presents",": something presented : GIFT"
"preservation",": the act, process, or result of preserving something: such as : the activity or process of keeping something valued alive, intact, or free from damage or decay : the preparation of food for future use (as by canning, pickling, or freezing) to prevent spoilage"
"preserve",": to keep safe from injury, harm, or destruction : PROTECT : to keep alive, intact, or free from decay : MAINTAIN : to keep or save from decomposition : to can, pickle, or similarly prepare for future use : to keep up and reserve for personal or special use"
"preserved",": to keep safe from injury, harm, or destruction : PROTECT : to keep alive, intact, or free from decay : MAINTAIN : to keep or save from decomposition : to can, pickle, or similarly prepare for future use : to keep up and reserve for personal or special use"
"preserves",": to keep safe from injury, harm, or destruction : PROTECT : to keep alive, intact, or free from decay : MAINTAIN : to keep or save from decomposition : to can, pickle, or similarly prepare for future use : to keep up and reserve for personal or special use"
"preserving",": to keep safe from injury, harm, or destruction : PROTECT : to keep alive, intact, or free from decay : MAINTAIN : to keep or save from decomposition : to can, pickle, or similarly prepare for future use : to keep up and reserve for personal or special use"
"presided",": to exercise guidance, direction, or control : to occupy the place of authority : act as president, chairman, or moderator : to occupy a position similar to that of a president or chairman : to occupy a position of featured instrumental performer"
"presidency",": the office of president : the office of president of the U.S. : the American governmental institution comprising the office of president and various associated administrative and policymaking agencies : the term during which a president holds office : the action or function of one that presides : SUPERINTENDENCE : a Mormon executive council of the church or a stake consisting of a president and two counselors"
"president",": an official chosen to preside over a meeting or assembly : an appointed governor of a subordinate political unit : the chief officer of an organization (such as a corporation or institution) usually entrusted with the direction and administration of its policies : the presiding officer of a governmental body : an elected official serving as both chief of state and chief political executive in a republic having a presidential government : an elected official having the position of chief of state but usually only minimal political powers in a republic having a parliamentary government"
"presidential",": of, relating to, or befitting a president or a president's authority : of or relating to the election of a president : performing functions delegated by or under the authority of a president : of, based upon, or having the characteristics of presidential government"
"presidents",": an official chosen to preside over a meeting or assembly : an appointed governor of a subordinate political unit : the chief officer of an organization (such as a corporation or institution) usually entrusted with the direction and administration of its policies : the presiding officer of a governmental body : an elected official serving as both chief of state and chief political executive in a republic having a presidential government : an elected official having the position of chief of state but usually only minimal political powers in a republic having a parliamentary government"
