"spectacular",": of, relating to, or being a spectacle : STRIKING, SENSATIONAL"
"speeding",": rate of motion: such as : VELOCITY sense 1 : the magnitude of a velocity irrespective of direction : the act or state of moving swiftly : SWIFTNESS : IMPETUS : swiftness or rate of performance or action : VELOCITY sense 3a : the sensitivity of a photographic film, plate, or paper expressed numerically : the time during which a camera shutter is open : the light-gathering power of a lens or optical system : a transmission gear in automotive vehicles or bicycles : someone or something that appeals to one's taste : METHAMPHETAMINE : a related stimulant drug and especially an amphetamine : prosperity in an undertaking : SUCCESS"
"speeds",": rate of motion: such as : VELOCITY sense 1 : the magnitude of a velocity irrespective of direction : the act or state of moving swiftly : SWIFTNESS : IMPETUS : swiftness or rate of performance or action : VELOCITY sense 3a : the sensitivity of a photographic film, plate, or paper expressed numerically : the time during which a camera shutter is open : the light-gathering power of a lens or optical system : a transmission gear in automotive vehicles or bicycles : someone or something that appeals to one's taste : METHAMPHETAMINE : a related stimulant drug and especially an amphetamine : prosperity in an undertaking : SUCCESS"
"speedway",": a public road on which fast driving is allowed : EXPRESSWAY : a racecourse for automobiles or motorcycles : a sprint race for motorcycles"
"speedy",": marked by swiftness of motion or action : PROMPT sense 2"
"spell",": to name the letters of in order : to write or print the letters of in order : to write or print the letters of in a particular way : to make up (a word) : WRITE sense 1b : to add up to : MEAN : to find out by study : come to understand : to read slowly and with difficulty"
"spelled",": to name the letters of in order : to write or print the letters of in order : to write or print the letters of in a particular way : to make up (a word) : WRITE sense 1b : to add up to : MEAN : to find out by study : come to understand : to read slowly and with difficulty"
"spelling",": the forming of words from letters according to accepted usage : ORTHOGRAPHY : a sequence of letters composing a word : the way in which a word is spelled"
"spells",": to name the letters of in order : to write or print the letters of in order : to write or print the letters of in a particular way : to make up (a word) : WRITE sense 1b : to add up to : MEAN : to find out by study : come to understand : to read slowly and with difficulty"
"spelt",": an ancient wheat (Triticum spelta synonym T. aestivum spelta) with long spikelets containing two light red flattened grains : the grain of spelt"
"spence",": PANTRY"
"spencer",": a short waist-length jacket"
"spend",": to use up or pay out : EXPEND : EXHAUST, WEAR OUT : to consume wastefully : SQUANDER : to cause or permit to elapse : PASS : GIVE UP, SACRIFICE"
"spending",": to use up or pay out : EXPEND : EXHAUST, WEAR OUT : to consume wastefully : SQUANDER : to cause or permit to elapse : PASS : GIVE UP, SACRIFICE"
"spends",": to use up or pay out : EXPEND : EXHAUST, WEAR OUT : to consume wastefully : SQUANDER : to cause or permit to elapse : PASS : GIVE UP, SACRIFICE"
"spent",": used up : CONSUMED : exhausted of active or required components or qualities often for a particular purpose : drained of energy or effectiveness : EXHAUSTED : exhausted of spawn or sperm"
"sperm",": SEMEN : a male gamete : SPERMATOZOON sense 1 : a product of the sperm whale"
"spewing",": VOMIT : to come forth in a flood or gush : to ooze out as if under pressure : EXUDE"
"sphere",": the apparent surface of the heavens of which half forms the dome of the visible sky : any of the concentric and eccentric revolving spherical transparent shells in which according to ancient astronomy stars, sun, planets, and moon are set : a globe depicting such a sphere : GLOBE sense a : a globular body : BALL : PLANET, STAR : a solid that is bounded by a surface consisting of all points at a given distance from a point constituting its center
see Volume Formulas Table : the bounding surface of a sphere : natural, normal, or proper place : social order or rank : ORBIT : an area or range over or within which someone or something acts, exists, or has influence or significance"
"spheres",": the apparent surface of the heavens of which half forms the dome of the visible sky : any of the concentric and eccentric revolving spherical transparent shells in which according to ancient astronomy stars, sun, planets, and moon are set : a globe depicting such a sphere : GLOBE sense a : a globular body : BALL : PLANET, STAR : a solid that is bounded by a surface consisting of all points at a given distance from a point constituting its center
see Volume Formulas Table : the bounding surface of a sphere : natural, normal, or proper place : social order or rank : ORBIT : an area or range over or within which someone or something acts, exists, or has influence or significance"
"spherical",": having the form of a sphere or of one of its segments : relating to or dealing with a sphere or its properties"
"spice",": a plant product (such as pepper, nutmeg, cinnamon, or ginger) that is used to season or flavor foods and is usually comprised of seeds, fruits, bark, or rhizomes that have been dried and typically ground : a small portion, quantity, or admixture : DASH : something that gives zest or relish : a pungent or fragrant odor : PERFUME"
"spiced",": a plant product (such as pepper, nutmeg, cinnamon, or ginger) that is used to season or flavor foods and is usually comprised of seeds, fruits, bark, or rhizomes that have been dried and typically ground : a small portion, quantity, or admixture : DASH : something that gives zest or relish : a pungent or fragrant odor : PERFUME"
"spices",": a plant product (such as pepper, nutmeg, cinnamon, or ginger) that is used to season or flavor foods and is usually comprised of seeds, fruits, bark, or rhizomes that have been dried and typically ground : a small portion, quantity, or admixture : DASH : something that gives zest or relish : a pungent or fragrant odor : PERFUME"
"spicy",": having the flavor, fragrance, or quality of spice : containing strong spices : PIQUANT, ZESTY : producing or abounding in spices : LIVELY, SPIRITED : engagingly provocative : RACY : somewhat scandalous or salacious"
"spider",": any of an order (Araneae synonym Araneida) of arachnids having a short, usually unsegmented abdomen linked to the cephalothorax by the pedicel, chelicerae modified into poison fangs, and two or more pairs of spinnerets at the posterior end of the abdomen for spinning threads of silk for various uses (as in making cocoons for their eggs or webs to catch prey) : any of various other arthropods and especially arachnids that resemble the true spiders : a cast-iron frying pan originally made with short feet to stand among coals on the hearth : any of various devices consisting of a frame or skeleton with radiating arms or members"
"spiders",": any of an order (Araneae synonym Araneida) of arachnids having a short, usually unsegmented abdomen linked to the cephalothorax by the pedicel, chelicerae modified into poison fangs, and two or more pairs of spinnerets at the posterior end of the abdomen for spinning threads of silk for various uses (as in making cocoons for their eggs or webs to catch prey) : any of various other arthropods and especially arachnids that resemble the true spiders : a cast-iron frying pan originally made with short feet to stand among coals on the hearth : any of various devices consisting of a frame or skeleton with radiating arms or members"
"spied",": to watch secretly usually for hostile purposes : to catch sight of : SEE : to search or look for intensively"
"spiegel",": a composition of iron that contains 15 to 30 percent manganese and 4.5 to 6.5 percent carbon"
"spiel",": to play music : to talk volubly or extravagantly"
"spies",": to watch secretly usually for hostile purposes : to catch sight of : SEE : to search or look for intensively"
"spike",": a very large nail : one of a row of pointed irons placed (as on the top of a wall) to prevent passage : one of several metal projections set in the sole and heel of a shoe to improve traction : a pair of shoes having spikes attached to the soles or soles and heels : SPINDLE sense 1e : something resembling a spike: such as : a young mackerel not over six inches (15.2 centimeters) long : an unbranched antler of a young deer : SPIKE PROTEIN : SPIKE HEEL sense 2 : the act or an instance of spiking (as in volleyball) : a pointed element in a graph or tracing : an unusually high and sharply defined maximum (as of amplitude in a wave train) : HYPODERMIC NEEDLE : a momentary sharp increase and fall in electric potential : ACTION POTENTIAL : an abrupt sharp increase (as in prices or rates)"
"spiked",": having an inflorescence that is a spike : having sharp projecting points : arranged in stiff tufts : containing alcohol : HARD sense 2b"
"spikes",": a very large nail : one of a row of pointed irons placed (as on the top of a wall) to prevent passage : one of several metal projections set in the sole and heel of a shoe to improve traction : a pair of shoes having spikes attached to the soles or soles and heels : SPINDLE sense 1e : something resembling a spike: such as : a young mackerel not over six inches (15.2 centimeters) long : an unbranched antler of a young deer : SPIKE PROTEIN : SPIKE HEEL sense 2 : the act or an instance of spiking (as in volleyball) : a pointed element in a graph or tracing : an unusually high and sharply defined maximum (as of amplitude in a wave train) : HYPODERMIC NEEDLE : a momentary sharp increase and fall in electric potential : ACTION POTENTIAL : an abrupt sharp increase (as in prices or rates)"
"spiky",": of, relating to, or characterized by spikes : sharply irritating or acerbic (as in temper or manner)"
"spill",": to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted : to cause (blood) to be lost by wounding : KILL, DESTROY : to let out : DIVULGE : to relieve (a sail) from the pressure of the wind so as to reef or furl it : to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines : to throw off or out"
"spilled",": to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted : to cause (blood) to be lost by wounding : KILL, DESTROY : to let out : DIVULGE : to relieve (a sail) from the pressure of the wind so as to reef or furl it : to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines : to throw off or out"
"spilling",": to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted : to cause (blood) to be lost by wounding : KILL, DESTROY : to let out : DIVULGE : to relieve (a sail) from the pressure of the wind so as to reef or furl it : to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines : to throw off or out"
"spills",": to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted : to cause (blood) to be lost by wounding : KILL, DESTROY : to let out : DIVULGE : to relieve (a sail) from the pressure of the wind so as to reef or furl it : to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines : to throw off or out"
"spilt",": to cause or allow especially accidentally or unintentionally to fall, flow, or run out so as to be lost or wasted : to cause (blood) to be lost by wounding : KILL, DESTROY : to let out : DIVULGE : to relieve (a sail) from the pressure of the wind so as to reef or furl it : to relieve the pressure of (wind) on a sail by coming about or by adjusting the sail with lines : to throw off or out"
"spin",": to draw out and twist fiber into yarn or thread : to form a thread by extruding a viscous rapidly hardening fluid : to revolve rapidly : GYRATE : to feel as if in a whirl : REEL : to move swiftly especially on or as if on wheels or in a vehicle : to fish with spinning bait : TROLL : to fall in a spin : to plunge helplessly and out of control : to play records or compact discs : to engage in spin control (as in politics)"
"spinach",": an Asian herb (Spinacia oleracea) of the amaranth family cultivated for its edible leaves which form in a dense basal rosette : its leaves : something unwanted, pretentious, or spurious : an untidy overgrowth"
"spinal",": of, relating to, or situated near the spinal column : of, relating to, or affecting the spinal cord : having the spinal cord functionally isolated (as by surgical section) from the brain : of, relating to, or resembling a spine"
"spindle",": a round stick with tapered ends used to form and twist the yarn in hand spinning : the long slender pin by which the thread is twisted in a spinning wheel : any of various rods or pins holding a bobbin in a textile machine (such as a spinning frame) : the pin in a loom shuttle : a device usually consisting of a long upright pin in a base on which papers can be stuck for filing : something shaped like a spindle: such as : a spindle-shaped network of chiefly microtubular fibers along which the chromosomes are distributed during mitosis and meiosis : MUSCLE SPINDLE : the bar or shaft usually of square section that carries the knobs and actuates the latch or bolt of a lock : a turned often decorative piece (as in a baluster) : NEWEL : a revolving piece especially when thinner than a shaft : a horizontal or vertical axle revolving on pin or pivot ends : the part of an axle on which a vehicle wheel turns"
"spine",": SPINAL COLUMN : something resembling a spinal column or constituting a central axis or chief support : the part of a book to which the pages are attached and on the cover of which usually appear the title and author's and publisher's names : a stiff pointed plant process : one that is a modified leaf or leaf part
compare PRICKLE sense 1, THORN sense 1a : a sharp rigid process on an animal: such as : SPICULE : a stiff unsegmented fin ray of a fish : a pointed prominence on a bone"
"spines",": SPINAL COLUMN : something resembling a spinal column or constituting a central axis or chief support : the part of a book to which the pages are attached and on the cover of which usually appear the title and author's and publisher's names : a stiff pointed plant process : one that is a modified leaf or leaf part
compare PRICKLE sense 1, THORN sense 1a : a sharp rigid process on an animal: such as : SPICULE : a stiff unsegmented fin ray of a fish : a pointed prominence on a bone"
"spinner",": one that spins : a fisherman's lure consisting of a spoon, blade, or set of wings that revolves when drawn through the water : a conical sheet metal fairing that is attached to an airplane propeller boss and revolves with it : a movable arrow that is spun on its dial to indicate the number or kind of moves a player may make in a board game : SPIN DOCTOR"
"spinners",": one that spins : a fisherman's lure consisting of a spoon, blade, or set of wings that revolves when drawn through the water : a conical sheet metal fairing that is attached to an airplane propeller boss and revolves with it : a movable arrow that is spun on its dial to indicate the number or kind of moves a player may make in a board game : SPIN DOCTOR"
"spinning",": a method of fishing in which a lure is cast by use of a light flexible rod, a spinning reel, and a light line"
"spins",": to draw out and twist fiber into yarn or thread : to form a thread by extruding a viscous rapidly hardening fluid : to revolve rapidly : GYRATE : to feel as if in a whirl : REEL : to move swiftly especially on or as if on wheels or in a vehicle : to fish with spinning bait : TROLL : to fall in a spin : to plunge helplessly and out of control : to play records or compact discs : to engage in spin control (as in politics)"
"spiny",": abounding with difficulties, obstacles, or annoyances : THORNY : covered or armed with spines : bearing spines, prickles, or thorns : slender and pointed like a spine"
"spiral",": winding around a center or pole and gradually receding from or approaching it : HELICAL : SPIRAL-BOUND : of or relating to the advancement to higher levels through a series of cyclical movements"
"spire",": a slender tapering blade or stalk (as of grass) : the upper tapering part of something (such as a tree or antler) : PINNACLE : a tapering roof or analogous pyramidal construction surmounting a tower : STEEPLE"
"spirit",": an animating or vital principle held to give life to physical organisms : a supernatural being or essence: such as : HOLY SPIRIT : SOUL sense 2a : an often malevolent being that is bodiless but can become visible : GHOST sense 2 : a malevolent being that enters and possesses a human being : temper or disposition of mind or outlook especially when vigorous or animated : the immaterial intelligent or sentient part of a person : the activating or essential principle influencing a person : an inclination, impulse, or tendency of a specified kind : MOOD : a special attitude or frame of mind : the feeling, quality, or disposition characterizing something : a lively or brisk quality in a person or a person's actions : a person having a character or disposition of a specified nature : a mental disposition characterized by firmness or assertiveness : DISTILLATE sense 1: such as : the liquid containing ethanol and water that is distilled from an alcoholic liquid or mash : any of various volatile liquids obtained by distillation or cracking (as of petroleum, shale, or wood) : a usually volatile organic solvent (such as an alcohol, ester, or hydrocarbon) : prevailing tone or tendency : general intent or real meaning : an alcoholic solution of a volatile substance : enthusiastic loyalty : GOD sense 1b"
"spirited",": full of energy, animation, or courage"
"spirits",": an animating or vital principle held to give life to physical organisms : a supernatural being or essence: such as : HOLY SPIRIT : SOUL sense 2a : an often malevolent being that is bodiless but can become visible : GHOST sense 2 : a malevolent being that enters and possesses a human being : temper or disposition of mind or outlook especially when vigorous or animated : the immaterial intelligent or sentient part of a person : the activating or essential principle influencing a person : an inclination, impulse, or tendency of a specified kind : MOOD : a special attitude or frame of mind : the feeling, quality, or disposition characterizing something : a lively or brisk quality in a person or a person's actions : a person having a character or disposition of a specified nature : a mental disposition characterized by firmness or assertiveness : DISTILLATE sense 1: such as : the liquid containing ethanol and water that is distilled from an alcoholic liquid or mash : any of various volatile liquids obtained by distillation or cracking (as of petroleum, shale, or wood) : a usually volatile organic solvent (such as an alcohol, ester, or hydrocarbon) : prevailing tone or tendency : general intent or real meaning : an alcoholic solution of a volatile substance : enthusiastic loyalty : GOD sense 1b"
"spiritual",": of, relating to, consisting of, or affecting the spirit : INCORPOREAL : of or relating to sacred matters : ecclesiastical rather than lay or temporal : concerned with religious values : related or joined in spirit : of or relating to supernatural beings or phenomena : of, relating to, or involving spiritualism : SPIRITUALISTIC"
"spirituality",": something that in ecclesiastical law belongs to the church or to a cleric as such : CLERGY : sensitivity or attachment to religious values : the quality or state of being spiritual"
"spiritually",": of, relating to, consisting of, or affecting the spirit : INCORPOREAL : of or relating to sacred matters : ecclesiastical rather than lay or temporal : concerned with religious values : related or joined in spirit : of or relating to supernatural beings or phenomena : of, relating to, or involving spiritualism : SPIRITUALISTIC"
"spit",": a slender pointed rod for holding meat over a fire : a small point of land especially of sand or gravel running into a body of water"
"spite",": petty ill will or hatred with the disposition to irritate, annoy, or thwart : an instance of spite"
"spits",": a slender pointed rod for holding meat over a fire : a small point of land especially of sand or gravel running into a body of water"
"spitting",": a slender pointed rod for holding meat over a fire : a small point of land especially of sand or gravel running into a body of water"
"splash",": to strike and dash about a liquid or semiliquid substance : to move in or into a liquid or semiliquid substance and cause it to spatter : to become spattered about : to spread or scatter in the manner of splashed liquid : to fall, strike, or move with a splashing sound"
"splashed",": to strike and dash about a liquid or semiliquid substance : to move in or into a liquid or semiliquid substance and cause it to spatter : to become spattered about : to spread or scatter in the manner of splashed liquid : to fall, strike, or move with a splashing sound"
"splashing",": to strike and dash about a liquid or semiliquid substance : to move in or into a liquid or semiliquid substance and cause it to spatter : to become spattered about : to spread or scatter in the manner of splashed liquid : to fall, strike, or move with a splashing sound"
"splat",": a single flat thin often ornamental member of a back of a chair"
"spleen",": a highly vascular ductless organ that is located in the left abdominal region near the stomach or intestine of most vertebrates and is concerned with final destruction of red blood cells, filtration and storage of blood, and production of lymphocytes : the seat of emotions or passions : MELANCHOLY : feelings of anger or ill will often suppressed : a sudden impulse or whim : CAPRICE"
"splendid",": possessing or displaying splendor: such as : SHINING, BRILLIANT : marked by showy magnificence : ILLUSTRIOUS, GRAND : EXCELLENT : being out of the ordinary : SINGULAR"
"splendor",": great brightness or luster : BRILLIANCY : MAGNIFICENCE, POMP : something splendid"
"splinter",": a thin piece split or broken off lengthwise : SLIVER : a small needlelike particle : a group or faction broken away from a parent body"
"split",": to divide lengthwise usually along a grain or seam or by layers : to affect as if by cleaving or forcing apart : to tear or rend apart : BURST : to subject (an atom or atomic nucleus) to artificial disintegration by fission : to affect as if by breaking up or tearing apart : SHATTER : to divide into parts or portions: such as : to divide between persons : SHARE : to divide into factions, parties, or groups : to mark (a ballot) or cast or register (a vote) so as to vote for candidates of different parties : to divide or break down (a chemical compound) into constituents : to remove by such separation : to divide (stock) by issuing a larger number of shares to existing shareholders usually without increase in total par value : to separate (the parts of a whole) by interposing something : LEAVE"
"splits",": to divide lengthwise usually along a grain or seam or by layers : to affect as if by cleaving or forcing apart : to tear or rend apart : BURST : to subject (an atom or atomic nucleus) to artificial disintegration by fission : to affect as if by breaking up or tearing apart : SHATTER : to divide into parts or portions: such as : to divide between persons : SHARE : to divide into factions, parties, or groups : to mark (a ballot) or cast or register (a vote) so as to vote for candidates of different parties : to divide or break down (a chemical compound) into constituents : to remove by such separation : to divide (stock) by issuing a larger number of shares to existing shareholders usually without increase in total par value : to separate (the parts of a whole) by interposing something : LEAVE"
"splitting",": that splits or causes to split: such as : causing a piercing sensation : very fast or quick : SIDESPLITTING"
"spoil",": to damage seriously : RUIN : to impair the quality or effect of : to impair the disposition or character of by overindulgence or excessive praise : to pamper excessively : CODDLE : PILLAGE, ROB : DESPOIL, STRIP : to seize by force"
"spoiled",": to damage seriously : RUIN : to impair the quality or effect of : to impair the disposition or character of by overindulgence or excessive praise : to pamper excessively : CODDLE : PILLAGE, ROB : DESPOIL, STRIP : to seize by force"
"spoiler",": one that spoils : one (such as a political candidate) having little or no chance of winning but capable of depriving a rival of success : a long narrow plate along the upper surface of an airplane wing that may be raised for reducing lift and increasing drag
see airplane illustration : an air deflector on an automobile to reduce the tendency to lift off the road at high speeds : information about the plot of a movie or TV program that can spoil a viewer's sense of surprise or suspense : a person who discloses such information"
"spoilers",": one that spoils : one (such as a political candidate) having little or no chance of winning but capable of depriving a rival of success : a long narrow plate along the upper surface of an airplane wing that may be raised for reducing lift and increasing drag
see airplane illustration : an air deflector on an automobile to reduce the tendency to lift off the road at high speeds : information about the plot of a movie or TV program that can spoil a viewer's sense of surprise or suspense : a person who discloses such information"
"spoiling",": to damage seriously : RUIN : to impair the quality or effect of : to impair the disposition or character of by overindulgence or excessive praise : to pamper excessively : CODDLE : PILLAGE, ROB : DESPOIL, STRIP : to seize by force"
"spoils",": to damage seriously : RUIN : to impair the quality or effect of : to impair the disposition or character of by overindulgence or excessive praise : to pamper excessively : CODDLE : PILLAGE, ROB : DESPOIL, STRIP : to seize by force"
"spoilt",": to damage seriously : RUIN : to impair the quality or effect of : to impair the disposition or character of by overindulgence or excessive praise : to pamper excessively : CODDLE : PILLAGE, ROB : DESPOIL, STRIP : to seize by force"
"spoke",": any of the small radiating bars inserted in the hub of a wheel to support the rim : something resembling the spoke of a wheel : any of the projecting handles of a boat's steering wheel"
"spoken",": delivered by word of mouth : ORAL : characterized by speaking in (such) a manner"
"spokesman",": a person who speaks as the representative of another or others often in a professional capacity"
"spokesperson",": SPOKESMAN"
"spokeswoman",": a woman who speaks as the representative of another or others often in a professional capacity"
"sponge",": an elastic porous mass of interlacing horny fibers that forms the internal skeleton of various marine animals (phylum Porifera) and is able when wetted to absorb water : a piece of sponge (as for scrubbing) : a porous rubber or cellulose product used similarly to a sponge : any of a phylum (Porifera) of aquatic chiefly marine simple invertebrate animals that have a double-walled body of loosely aggregated cells with a skeleton supported by spicules or spongin and are filter feeders that are sessile as adults : a pad (as of folded gauze) used in surgery and medicine (as to remove discharge) : one who lives on others : a soft mixture of yeast, liquid, and flour that is allowed to rise and then mixed with additional ingredients to create bread dough : a whipped dessert usually containing whites of eggs or gelatin : a metal (such as platinum) obtained in porous form usually by reduction without fusion : the egg mass of a crab : an absorbent contraceptive device that is impregnated with spermicide and inserted into the vagina before sexual intercourse to cover the cervix"
"sponges",": an elastic porous mass of interlacing horny fibers that forms the internal skeleton of various marine animals (phylum Porifera) and is able when wetted to absorb water : a piece of sponge (as for scrubbing) : a porous rubber or cellulose product used similarly to a sponge : any of a phylum (Porifera) of aquatic chiefly marine simple invertebrate animals that have a double-walled body of loosely aggregated cells with a skeleton supported by spicules or spongin and are filter feeders that are sessile as adults : a pad (as of folded gauze) used in surgery and medicine (as to remove discharge) : one who lives on others : a soft mixture of yeast, liquid, and flour that is allowed to rise and then mixed with additional ingredients to create bread dough : a whipped dessert usually containing whites of eggs or gelatin : a metal (such as platinum) obtained in porous form usually by reduction without fusion : the egg mass of a crab : an absorbent contraceptive device that is impregnated with spermicide and inserted into the vagina before sexual intercourse to cover the cervix"
"sponsor",": one who presents a candidate for baptism or confirmation and undertakes responsibility for the person's religious education or spiritual welfare : one who assumes responsibility for some other person or thing : a person or an organization that pays for or plans and carries out a project or activity : one that pays the cost of a radio or television program usually in return for advertising time during its course"
"sponsored",": one who presents a candidate for baptism or confirmation and undertakes responsibility for the person's religious education or spiritual welfare : one who assumes responsibility for some other person or thing : a person or an organization that pays for or plans and carries out a project or activity : one that pays the cost of a radio or television program usually in return for advertising time during its course"
"sponsoring",": one who presents a candidate for baptism or confirmation and undertakes responsibility for the person's religious education or spiritual welfare : one who assumes responsibility for some other person or thing : a person or an organization that pays for or plans and carries out a project or activity : one that pays the cost of a radio or television program usually in return for advertising time during its course"
"sponsors",": one who presents a candidate for baptism or confirmation and undertakes responsibility for the person's religious education or spiritual welfare : one who assumes responsibility for some other person or thing : a person or an organization that pays for or plans and carries out a project or activity : one that pays the cost of a radio or television program usually in return for advertising time during its course"
"sponsorship",": one who presents a candidate for baptism or confirmation and undertakes responsibility for the person's religious education or spiritual welfare : one who assumes responsibility for some other person or thing : a person or an organization that pays for or plans and carries out a project or activity : one that pays the cost of a radio or television program usually in return for advertising time during its course"
"spontaneous",": proceeding from natural feeling or native tendency without external constraint : arising from a momentary impulse : controlled and directed internally : SELF-ACTING : produced without being planted or without human labor : INDIGENOUS : developing or occurring without apparent external influence, force, cause, or treatment : not apparently contrived or manipulated : NATURAL"
"spontaneously",": proceeding from natural feeling or native tendency without external constraint : arising from a momentary impulse : controlled and directed internally : SELF-ACTING : produced without being planted or without human labor : INDIGENOUS : developing or occurring without apparent external influence, force, cause, or treatment : not apparently contrived or manipulated : NATURAL"
"spoof",": DECEIVE, HOAX : to make good-natured fun of"
"spook",": GHOST, SPECTER : an undercover agent : SPY"
"spooked",": GHOST, SPECTER : an undercover agent : SPY"
"spooky",": strange, unsettling, or frightening in a way that suggests the supernatural : EERIE, UNCANNY : relating to, resembling, or suggesting ghosts or spooks : NERVOUS, SKITTISH"
"spool",": a cylindrical device which has a rim or ridge at each end and an axial hole for a pin or spindle and on which material (such as thread, wire, or tape) is wound : material or the amount of material wound on a spool"
"spoon",": an eating or cooking implement consisting of a small shallow bowl with a relatively long handle : SPOONFUL : something (such as a tool or fishing lure) that resembles a spoon in shape"
"spoons",": an eating or cooking implement consisting of a small shallow bowl with a relatively long handle : SPOONFUL : something (such as a tool or fishing lure) that resembles a spoon in shape"
"sporadic",": occurring occasionally, singly, or in irregular or random instances"
"spore",": a primitive usually unicellular often environmentally resistant dormant or reproductive body produced by plants, fungi, and some microorganisms and capable of development into a new individual either directly or after fusion with another spore"
"spores",": a primitive usually unicellular often environmentally resistant dormant or reproductive body produced by plants, fungi, and some microorganisms and capable of development into a new individual either directly or after fusion with another spore"
"sport",": to amuse oneself : FROLIC : to engage in a sport : to mock or ridicule something : to speak or act in jest : TRIFLE : to deviate or vary abruptly from type (as by bud variation) : MUTATE"
"sporting",": of, relating to, used, or suitable for sport : trained for trapping or retrieving game : marked by or calling for sportsmanship : involving such risk as a sports contender may expect to take or encounter : of or relating to dissipation and especially gambling : tending to mutate freely"
"sports",": to amuse oneself : FROLIC : to engage in a sport : to mock or ridicule something : to speak or act in jest : TRIFLE : to deviate or vary abruptly from type (as by bud variation) : MUTATE"
"sportsman",": a person who engages in sports (such as hunting or fishing) : a person who shows sportsmanship"
"sportsmanship",": conduct (such as fairness, respect for one's opponent, and graciousness in winning or losing) becoming to one participating in a sport"
