"Letter","Definition"
"absences",": a state or condition in which something expected, wanted, or looked for is not present or does not exist : a state or condition in which something is absent : a failure to be present at a usual or expected place : the state of being absent : the period of time that one is absent : inattention to present surroundings or occurrences"
"absent",": not present at a usual or expected place : MISSING : not existing : LACKING : showing a lack of attention to what is happening or being said : not attentive"
"absentee",": one that is absent: such as : a proprietor that lives away from his or her estate or business : one missing from work or school"
"absolute",": free from imperfection : PERFECT : free or relatively free from mixture : PURE : OUTRIGHT, UNMITIGATED : being, governed by, or characteristic of a ruler or authority completely free from constitutional or other restraint : having no restriction, exception, or qualification : POSITIVE, UNQUESTIONABLE : independent of arbitrary standards of measurement : relating to or derived in the simplest manner from the fundamental units of length, mass, and time : relating to, measured on, or being a temperature scale based on absolute zero : KELVIN : FUNDAMENTAL, ULTIMATE : perfectly embodying the nature of a thing : standing apart from a normal or usual syntactical relation with other words or sentence elements : standing alone without a modified substantive : having no object in the particular construction under consideration though normally transitive : being self-sufficient and free of external references or relationships : being the true distance from an aircraft to the earth's surface"
"absolutely",": in an absolute manner: such as : completely or totally : with unlimited power : with respect to absolute values"
"absorb",": to take in (something, such as water) in a natural or gradual way : to take in (knowledge, attitudes, etc.) : ACQUIRE, LEARN : USE UP, CONSUME : to take in and make part of an existent whole : to engage or engross wholly : to receive without recoil or echo : ENDURE, SUSTAIN : ASSUME, BEAR : to transform (radiant energy) into a different form especially with a resulting rise in temperature"
"absorbed",": having one's attention wholly engaged or occupied"
"absorbing",": fully taking one's attention : ENGROSSING"
"absorbs",": to take in (something, such as water) in a natural or gradual way : to take in (knowledge, attitudes, etc.) : ACQUIRE, LEARN : USE UP, CONSUME : to take in and make part of an existent whole : to engage or engross wholly : to receive without recoil or echo : ENDURE, SUSTAIN : ASSUME, BEAR : to transform (radiant energy) into a different form especially with a resulting rise in temperature"
"absorption",": the process of absorbing something or of being absorbed compare ADSORPTION : interception of radiant energy or sound waves : entire occupation of the mind"
"abstain",": to choose not to do or have something : to refrain deliberately and often with an effort of self-denial from an action or practice : to choose not to vote"
"abstinence",": the practice of abstaining from something : the practice of not doing or having something that is wanted or enjoyable : habitual abstaining from intoxicating beverages : abstention from sexual intercourse"
"abstract",": disassociated from any specific instance : difficult to understand : ABSTRUSE : insufficiently factual : FORMAL : expressing a quality apart from an object : dealing with a subject in its abstract aspects : THEORETICAL : IMPERSONAL, DETACHED : having only intrinsic form with little or no attempt at pictorial representation or narrative content"
"abstraction",": the act or process of abstracting : the state of being abstracted : an abstract idea or term : absence of mind or preoccupation : abstract quality or character : an abstract composition or creation in art : ABSTRACTIONISM"
"abstracts",": disassociated from any specific instance : difficult to understand : ABSTRUSE : insufficiently factual : FORMAL : expressing a quality apart from an object : dealing with a subject in its abstract aspects : THEORETICAL : IMPERSONAL, DETACHED : having only intrinsic form with little or no attempt at pictorial representation or narrative content"
"absurd",": ridiculously unreasonable, unsound, or incongruous : extremely silly or ridiculous : having no rational or orderly relationship to human life : MEANINGLESS : lacking order or value : dealing with the absurd (see ABSURD entry 2) or with absurdism"
"absurdity",": the quality or state of being absurd : ABSURDNESS : something that is absurd"
"abundance",": an ample quantity : an abundant amount : PROFUSION : AFFLUENCE, WEALTH : relative degree of plentifulness"
"abundant",": existing or occurring in large amounts : AMPLE : marked by great plenty (as of resources) : amply supplied : ABOUNDING"
"abundantly",": existing or occurring in large amounts : AMPLE : marked by great plenty (as of resources) : amply supplied : ABOUNDING"
"abuse",": a corrupt practice or custom : improper or excessive use or treatment : MISUSE : language that condemns or vilifies usually unjustly, intemperately, and angrily : physical maltreatment : a deceitful act : DECEPTION"
"abused",": subjected to harmful or improper treatment : having suffered abuse"
"abuser",": a corrupt practice or custom : improper or excessive use or treatment : MISUSE : language that condemns or vilifies usually unjustly, intemperately, and angrily : physical maltreatment : a deceitful act : DECEPTION"
