"colin",": the bobwhite or any of several related New World game birds"
"collapses",": to fall or shrink together abruptly and completely : fall into a jumbled or flattened mass through the force of external pressure : to break down completely : DISINTEGRATE : to cave or fall in or give way : to suddenly lose force, significance, effectiveness, or worth : to break down in vital energy, stamina, or self-control through exhaustion or disease : to fall helpless or unconscious : to fold down into a more compact shape"
"collapsing",": to fall or shrink together abruptly and completely : fall into a jumbled or flattened mass through the force of external pressure : to break down completely : DISINTEGRATE : to cave or fall in or give way : to suddenly lose force, significance, effectiveness, or worth : to break down in vital energy, stamina, or self-control through exhaustion or disease : to fall helpless or unconscious : to fold down into a more compact shape"
"collar",": a band, strip, or chain worn around the neck: such as : a band that serves to finish or decorate the neckline of a garment : a short necklace : a band placed about the neck of an animal : a part of the harness of draft animals fitted over the shoulders and taking strain when a load is drawn : an indication of control : a token of subservience : a protective or supportive device (such as a brace or cast) worn around the neck : CLERICAL COLLAR : something resembling a collar in shape or use (such as a ring or round flange to restrain motion or hold something in place) : any of various animal structures or markings similar to a collar : an act of collaring : ARREST, CAPTURE"
"collars",": a band, strip, or chain worn around the neck: such as : a band that serves to finish or decorate the neckline of a garment : a short necklace : a band placed about the neck of an animal : a part of the harness of draft animals fitted over the shoulders and taking strain when a load is drawn : an indication of control : a token of subservience : a protective or supportive device (such as a brace or cast) worn around the neck : CLERICAL COLLAR : something resembling a collar in shape or use (such as a ring or round flange to restrain motion or hold something in place) : any of various animal structures or markings similar to a collar : an act of collaring : ARREST, CAPTURE"
"collateral",": property (such as securities) pledged by a borrower to protect the interests of the lender : a collateral relative : a branch of a bodily part (such as a vein) : informational materials (such as brochures and fact sheets) used in selling a product or service to a prospective customer or buyer"
"colleague",": an associate or coworker typically in a profession or in a civil or ecclesiastical office and often of similar rank or status : a fellow worker or professional"
"colleagues",": an associate or coworker typically in a profession or in a civil or ecclesiastical office and often of similar rank or status : a fellow worker or professional"
"collect",": a short prayer comprising an invocation, petition, and conclusion : one preceding the eucharistic Epistle and varying with the day : COLLECTION"
"collected",": gathered together : possessed of calmness and composure often through concentrated effort : performed slowly and restrainedly with the animal's center of gravity toward the hindquarters
compare EXTENDED"
"collectible",": suitable for being collected : due for present payment : PAYABLE"
"collectibles",": suitable for being collected : due for present payment : PAYABLE"
"collecting",": a short prayer comprising an invocation, petition, and conclusion : one preceding the eucharistic Epistle and varying with the day : COLLECTION"
"collection",": the act or process of collecting : something collected : an accumulation of objects gathered for study, comparison, or exhibition or as a hobby : GROUP, AGGREGATE : a set of apparel designed for sale usually in a particular season"
"collections",": the act or process of collecting : something collected : an accumulation of objects gathered for study, comparison, or exhibition or as a hobby : GROUP, AGGREGATE : a set of apparel designed for sale usually in a particular season"
"collective",": denoting a number of persons or things considered as one group or whole : formed by collecting : AGGREGATED : MULTIPLE : of, relating to, or being a group of individuals : involving all members of a group as distinct from its individuals : marked by similarity among or with the members of a group : collectivized or characterized by collectivism : shared or assumed by all members of the group"
"collectively",": denoting a number of persons or things considered as one group or whole : formed by collecting : AGGREGATED : MULTIPLE : of, relating to, or being a group of individuals : involving all members of a group as distinct from its individuals : marked by similarity among or with the members of a group : collectivized or characterized by collectivism : shared or assumed by all members of the group"
"collector",": one that collects: such as : an official who collects funds or moneys : a person who makes a collection : an object or device that collects : SOLAR COLLECTOR"
"collectors",": one that collects: such as : an official who collects funds or moneys : a person who makes a collection : an object or device that collects : SOLAR COLLECTOR"
"collects",": a short prayer comprising an invocation, petition, and conclusion : one preceding the eucharistic Epistle and varying with the day : COLLECTION"
"colleen",": an Irish girl"
"college",": an independent institution of higher learning offering a course of general studies leading to a bachelor's degree : a university division offering this : a part of a university offering a specialized group of courses : an institution offering instruction usually in a professional, vocational, or technical field : a self-governing constituent body of a university offering living quarters and sometimes instruction but not granting degrees : a preparatory or high school : the faculty, students, or administration of a college : a group of persons considered by law to be a unit : a body of electors
compare ELECTORAL COLLEGE : a building used for an educational or religious purpose : a body of clergy living together and supported by a foundation : COMPANY, GROUP : an organized body of persons engaged in a common pursuit or having common interests or duties"
"colleges",": an independent institution of higher learning offering a course of general studies leading to a bachelor's degree : a university division offering this : a part of a university offering a specialized group of courses : an institution offering instruction usually in a professional, vocational, or technical field : a self-governing constituent body of a university offering living quarters and sometimes instruction but not granting degrees : a preparatory or high school : the faculty, students, or administration of a college : a group of persons considered by law to be a unit : a body of electors
compare ELECTORAL COLLEGE : a building used for an educational or religious purpose : a body of clergy living together and supported by a foundation : COMPANY, GROUP : an organized body of persons engaged in a common pursuit or having common interests or duties"
"collegiate",": of or relating to a collegiate church : of, relating to, or comprising a college : COLLEGIAL sense 2 : designed for or characteristic of college students"
"collide",": to come together with solid or direct impact : CLASH"
"collided",": to come together with solid or direct impact : CLASH"
"collier",": one that produces charcoal : a coal miner : a ship for transporting coal"
"collins",": a tall iced drink of soda water, sugar, lemon or lime juice, and liquor (such as gin)"
"collision",": an act or instance of colliding : CLASH : an encounter between particles (such as atoms or molecules) resulting in exchange or transformation of energy"
"collisions",": an act or instance of colliding : CLASH : an encounter between particles (such as atoms or molecules) resulting in exchange or transformation of energy"
"collusion",": secret agreement or cooperation especially for an illegal or deceitful purpose"
"cologne",": a perfumed liquid composed of alcohol and fragrant oils : a cream or paste of cologne sometimes formed into a semisolid stick"
"colombo","city, port on the Indian Ocean, and capital of Sri Lanka population 647,100"
"colon",": the part of the large intestine that extends from the cecum to the rectum"
"colonel",": a commissioned officer in the army, air force, or marine corps ranking above a lieutenant colonel and below a brigadier general : LIEUTENANT COLONEL : a minor titular official of a state especially in southern or midland U.S."
"colonial",": of, relating to, or characteristic of a colony : having the status of a colony : possessing or composed of colonies : of or relating to a period when an area is being colonized and especially to the period of European colonization in U.S. history between the early 17th century and the late 18th century : such as : made or prevailing during a colonial period : adapted from or reminiscent of a mode of design from a colonial period : forming, existing in, or used by a colony"
"colonialism",": domination of a people or area by a foreign state or nation : the practice of extending and maintaining a nation's political and economic control over another people or area : the policy of or belief in acquiring and retaining colonies : the quality or state of being a colony or of behaving like a colony : something (such as a custom, idea, or idiom) that is characteristic of a colony"
"colonies",": an area over which a foreign nation or state extends or maintains control : a group of people who establish residence in that area and who retain ties with the parent state : a group of people who settle together in a new place : the land or buildings used by such a group : a distinguishable localized population of a species or type of organism : a circumscribed mass of microorganisms usually growing in or on a solid medium : the aggregation of zooids of a compound animal (such as a coral or bryozoan) : a group of individuals or things with common characteristics or interests living in close association : the land or buildings used by such a group : a group of persons institutionalized away from others : the land or buildings used by such a group"
"colonists",": a member or inhabitant of a colony (see COLONY sense 1) : a person who migrates to and settles in a foreign area as part of a colony"
"colonization",": an act or instance of colonizing: such as : the establishing of a colony (see COLONY sense 1) : subjugation of a people or area especially as an extension of state power : migration to and settlement in an inhabited or uninhabited area : the spread and development of an organism in a new area or habitat : the presence and multiplication of a microorganism (such as a bacterium) in or on a host or an inanimate object or surface : the act or practice of appropriating something that one does not own or have a right to : the state of being colonized : subjugation by a foreign power"
"colony",": an area over which a foreign nation or state extends or maintains control : a group of people who establish residence in that area and who retain ties with the parent state : a group of people who settle together in a new place : the land or buildings used by such a group : a distinguishable localized population of a species or type of organism : a circumscribed mass of microorganisms usually growing in or on a solid medium : the aggregation of zooids of a compound animal (such as a coral or bryozoan) : a group of individuals or things with common characteristics or interests living in close association : the land or buildings used by such a group : a group of persons institutionalized away from others : the land or buildings used by such a group"
"color",": a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects : the aspect of the appearance of objects and light sources that may be described in terms of hue, lightness, and saturation (see SATURATION sense 4) for objects and hue, brightness, and saturation for light sources : a specific combination of hue, saturation, and lightness or brightness : a color other than and as contrasted with black, white, or gray : clothing of a bright (see BRIGHT entry 1 sense 4) color : clothing that is neither dark nor light in color : something used to give color : PIGMENT : two or more hues employed in a medium of presentation : the use or combination of colors : skin pigmentation other than and especially darker than what is considered characteristic of people typically defined as white (see WHITE entry 1 sense 2a) see also MAN OF COLOR, PERSON OF COLOR, WOMAN OF COLOR : complexion tint: : the tint characteristic of good health : BLUSH : an identifying badge, pennant, or flag : colored clothing distinguishing one as a member of a particular group or representative of a particular person or thing : CHARACTER, NATURE : position as to a question or course of action : STAND : vividness or variety of effects of language : LOCAL COLOR : VITALITY, INTEREST : analysis of game action or strategy, statistics and background information on participants, and often anecdotes provided by a sportscaster to give variety and interest to the broadcast of a game or contest : an outward often deceptive show : APPEARANCE : a legal claim to or appearance of a right, authority, or office : a pretense offered as justification : PRETEXT : an appearance of authenticity : PLAUSIBILITY : a naval or nautical salute to a flag being hoisted or lowered : ARMED FORCES : the quality of timbre in music : a small particle of gold in a gold miner's pan after washing : a hypothetical property of quarks that differentiates each type into three forms having a distinct role in binding quarks together"
"coloration",": the state of having color : use or choice of colors (as by an artist) : arrangement of colors : characteristic quality : aspect suggesting an attitude : subtle variation of intensity or quality of tone"
"colored",": having color : COLORFUL : marked by exaggeration or bias : of a race (see RACE entry 1 sense 1a) other than white : BLACK entry 1 sense 2 : of mixed race (see RACE entry 1 sense 1a) : of or relating to persons of races (see RACE entry 1 sense 1a) other than white or to persons of mixed race"
"colorful",": having striking colors : full of variety or interest : RUDE, OFFENSIVE"
"coloring",": the act of applying colors : something that produces color or color effects : the effect produced by applying or combining colors : natural color : COMPLEXION, COLORATION : change of appearance (as by adding color) : INFLUENCE, BIAS : COLOR sense 8 : TIMBRE, QUALITY"
"colorless",": lacking color: such as : PALLID, BLANCHED : DULL, UNINTERESTING"
"colors",": a phenomenon of light (such as red, brown, pink, or gray) or visual perception that enables one to differentiate otherwise identical objects : the aspect of the appearance of objects and light sources that may be described in terms of hue, lightness, and saturation (see SATURATION sense 4) for objects and hue, brightness, and saturation for light sources : a specific combination of hue, saturation, and lightness or brightness : a color other than and as contrasted with black, white, or gray : clothing of a bright (see BRIGHT entry 1 sense 4) color : clothing that is neither dark nor light in color : something used to give color : PIGMENT : two or more hues employed in a medium of presentation : the use or combination of colors : skin pigmentation other than and especially darker than what is considered characteristic of people typically defined as white (see WHITE entry 1 sense 2a) see also MAN OF COLOR, PERSON OF COLOR, WOMAN OF COLOR : complexion tint: : the tint characteristic of good health : BLUSH : an identifying badge, pennant, or flag : colored clothing distinguishing one as a member of a particular group or representative of a particular person or thing : CHARACTER, NATURE : position as to a question or course of action : STAND : vividness or variety of effects of language : LOCAL COLOR : VITALITY, INTEREST : analysis of game action or strategy, statistics and background information on participants, and often anecdotes provided by a sportscaster to give variety and interest to the broadcast of a game or contest : an outward often deceptive show : APPEARANCE : a legal claim to or appearance of a right, authority, or office : a pretense offered as justification : PRETEXT : an appearance of authenticity : PLAUSIBILITY : a naval or nautical salute to a flag being hoisted or lowered : ARMED FORCES : the quality of timbre in music : a small particle of gold in a gold miner's pan after washing : a hypothetical property of quarks that differentiates each type into three forms having a distinct role in binding quarks together"
"colossal",": of, relating to, or resembling a colossus : of a bulk, extent, power, or effect approaching or suggesting the stupendous or incredible : of an exceptional or astonishing degree"
"colossus",": a statue of gigantic size and proportions : a person or thing of immense size or power"
"colour","Definition not found"
"coloured","Definition not found"
"colouring","Definition not found"
"colours","Definition not found"
"colt",": FOAL : a male foal : a young male horse that is usually not castrated and has not attained an arbitrarily designated age (such as four years) : a young untried person"
"colts",": FOAL : a male foal : a young male horse that is usually not castrated and has not attained an arbitrarily designated age (such as four years) : a young untried person"
"column",": a vertical arrangement of items printed or written on a page : one of two or more vertical sections of a printed page separated by a rule or blank space : an accumulation arranged vertically : STACK : one in a usually regular series of newspaper or magazine articles : a supporting pillar : one consisting of a usually round shaft, a capital, and a base : something resembling a column in form, position, or function : a tube or cylinder in which a chromatographic separation takes place : a long row (as of soldiers) : one of the vertical lines of elements of a determinant or matrix : a statistical category or grouping"
"columnist",": one who writes a newspaper or magazine column"
"columns",": a vertical arrangement of items printed or written on a page : one of two or more vertical sections of a printed page separated by a rule or blank space : an accumulation arranged vertically : STACK : one in a usually regular series of newspaper or magazine articles : a supporting pillar : one consisting of a usually round shaft, a capital, and a base : something resembling a column in form, position, or function : a tube or cylinder in which a chromatographic separation takes place : a long row (as of soldiers) : one of the vertical lines of elements of a determinant or matrix : a statistical category or grouping"
"coma",": a state of profound unconsciousness caused by disease, injury, or poison : a state of mental or physical sluggishness : TORPOR"
"comb",": a toothed instrument used especially for adjusting, cleaning, or confining hair : a structure resembling such a comb : any of several toothed devices used in handling or ordering textile fibers : CURRYCOMB : a fleshy crest on the head of the domestic chicken and other domestic birds : something (such as the ridge of a roof) resembling the comb of a cock : HONEYCOMB"
"combat",": a fight or contest between individuals or groups : CONFLICT, CONTROVERSY : active fighting in a war : ACTION"
"combatants",": one that is engaged in or ready to engage in combat"
"combating",": a fight or contest between individuals or groups : CONFLICT, CONTROVERSY : active fighting in a war : ACTION"
"combination",": a result or product of combining : an alliance of individuals, corporations, or states united to achieve a social, political, or economic end : two or more persons working as a team : an ordered sequence: such as : a sequence of letters or numbers chosen in setting a lock : the mechanism operating or moved by the sequence : a rapid sequence of punches in boxing : any subset of a set considered without regard to order within the subset : any of various one-piece undergarments for the upper and lower parts of the body : an instrument designed to perform two or more tasks : the act or process of combining : that of uniting to form a chemical compound : the quality or state of being combined"
"combinations",": a result or product of combining : an alliance of individuals, corporations, or states united to achieve a social, political, or economic end : two or more persons working as a team : an ordered sequence: such as : a sequence of letters or numbers chosen in setting a lock : the mechanism operating or moved by the sequence : a rapid sequence of punches in boxing : any subset of a set considered without regard to order within the subset : any of various one-piece undergarments for the upper and lower parts of the body : an instrument designed to perform two or more tasks : the act or process of combining : that of uniting to form a chemical compound : the quality or state of being combined"
"combine",": to bring into such close relationship as to obscure individual characters : MERGE : to cause to unite into a chemical compound : to unite into a single number or expression : INTERMIX, BLEND : to possess in combination"
"combined",": a skiing competition combining two separate events (such as a downhill race and a slalom race)"
"combines",": to bring into such close relationship as to obscure individual characters : MERGE : to cause to unite into a chemical compound : to unite into a single number or expression : INTERMIX, BLEND : to possess in combination"
"combining",": to bring into such close relationship as to obscure individual characters : MERGE : to cause to unite into a chemical compound : to unite into a single number or expression : INTERMIX, BLEND : to possess in combination"
"combo",": a usually small jazz or dance band : COMBINATION"
"combs",": a toothed instrument used especially for adjusting, cleaning, or confining hair : a structure resembling such a comb : any of several toothed devices used in handling or ordering textile fibers : CURRYCOMB : a fleshy crest on the head of the domestic chicken and other domestic birds : something (such as the ridge of a roof) resembling the comb of a cock : HONEYCOMB"
"combustion",": an act or instance of burning : a usually rapid chemical process (such as oxidation) that produces heat and usually light : a slower oxidation (as in the body) : violent agitation : TUMULT"
"come",": to move toward something : APPROACH : to move or journey to a vicinity with a specified purpose : to reach a particular station in a series : to arrive in due course : to approach in kind or quality : to reach a condition or conclusion : to advance toward accomplishment : COME ALONG : to advance in a particular manner : to advance, rise, or improve in rank or condition : EXTEND : to arrive at a particular place, end, result, or conclusion : AMOUNT : to appear to the mind : to appear on a scene : make an appearance : HAPPEN, OCCUR : to come to pass : take place : ORIGINATE, ARISE : to enter or assume a condition, position, or relation : to fall within a field of view or a range of application : to issue forth : to take form : to be available : to experience orgasm : to fall to a person in a division or inheritance of property : to become moved favorably : RELENT : to turn out to be : BECOME"
"comeback",": a sharp or witty reply : RETORT : a cause for complaint : a return to a former position or condition (as of success or prosperity) : RECOVERY, REVIVAL"
"comedian",": a writer of comedies : an actor who plays comic roles : a comical individual : a professional entertainer who uses any of various physical or verbal means to be amusing"
"comedians",": a writer of comedies : an actor who plays comic roles : a comical individual : a professional entertainer who uses any of various physical or verbal means to be amusing"
"comedic",": of or relating to comedy : COMICAL sense 2"
"comedies",": a medieval narrative that ends happily : a literary work written in a comic style or treating a comic theme : a drama of light and amusing character and typically with a happy ending : the genre of dramatic literature dealing with the comic or with the serious in a light or satirical manner
compare TRAGEDY : a ludicrous or farcical event or series of events : the comic element : humorous entertainment"
"comedy",": a medieval narrative that ends happily : a literary work written in a comic style or treating a comic theme : a drama of light and amusing character and typically with a happy ending : the genre of dramatic literature dealing with the comic or with the serious in a light or satirical manner
compare TRAGEDY : a ludicrous or farcical event or series of events : the comic element : humorous entertainment"
"comes",": to move toward something : APPROACH : to move or journey to a vicinity with a specified purpose : to reach a particular station in a series : to arrive in due course : to approach in kind or quality : to reach a condition or conclusion : to advance toward accomplishment : COME ALONG : to advance in a particular manner : to advance, rise, or improve in rank or condition : EXTEND : to arrive at a particular place, end, result, or conclusion : AMOUNT : to appear to the mind : to appear on a scene : make an appearance : HAPPEN, OCCUR : to come to pass : take place : ORIGINATE, ARISE : to enter or assume a condition, position, or relation : to fall within a field of view or a range of application : to issue forth : to take form : to be available : to experience orgasm : to fall to a person in a division or inheritance of property : to become moved favorably : RELENT : to turn out to be : BECOME"
"comet",": a celestial body that appears as a fuzzy head usually surrounding a bright nucleus, that has a usually highly eccentric orbit, that consists primarily of ice and dust, and that often develops one or more long tails when near the sun"
"comets",": a celestial body that appears as a fuzzy head usually surrounding a bright nucleus, that has a usually highly eccentric orbit, that consists primarily of ice and dust, and that often develops one or more long tails when near the sun"
"comfort",": to give strength and hope to : CHEER : to ease the grief or trouble of : CONSOLE"
"comfortable",": affording or enjoying contentment and security : affording or enjoying physical comfort : free from vexation or doubt : free from stress or tension"
"comfortably",": affording or enjoying contentment and security : affording or enjoying physical comfort : free from vexation or doubt : free from stress or tension"
"comforted",": to give strength and hope to : CHEER : to ease the grief or trouble of : CONSOLE"
"comforting",": to give strength and hope to : CHEER : to ease the grief or trouble of : CONSOLE"
"comforts",": to give strength and hope to : CHEER : to ease the grief or trouble of : CONSOLE"
"comfy",": COMFORTABLE"
"comic",": of, relating to, or marked by comedy : causing laughter or amusement : FUNNY : of or relating to comic strips"
"comical",": of or relating to comedy : causing laughter especially because of a startlingly or unexpectedly humorous impact"
"comics",": of, relating to, or marked by comedy : causing laughter or amusement : FUNNY : of or relating to comic strips"
"coming",": an act or instance of arriving"
"comma",": a punctuation mark, used especially as a mark of separation within the sentence : PAUSE, INTERVAL : any of several nymphalid butterflies (genus Polygonia) with a silvery comma-shaped mark on the underside of the hind wings"
"command",": to direct authoritatively : ORDER : to exercise a dominating influence over : have command of: such as : to have at one's immediate disposal : to demand or receive as one's due : to overlook or dominate from or as if from a strategic position : to have military command of as senior officer : to order or request to be given"
"commandant",": COMMANDING OFFICER"
"commanded",": to direct authoritatively : ORDER : to exercise a dominating influence over : have command of: such as : to have at one's immediate disposal : to demand or receive as one's due : to overlook or dominate from or as if from a strategic position : to have military command of as senior officer : to order or request to be given"
"commander",": one in an official position of command or control: such as : COMMANDING OFFICER : the presiding officer of a society or organization : a commissioned officer in the navy or coast guard ranking above a lieutenant commander and below a captain"
"commanders",": one in an official position of command or control: such as : COMMANDING OFFICER : the presiding officer of a society or organization : a commissioned officer in the navy or coast guard ranking above a lieutenant commander and below a captain"
"commanding",": drawing attention or priority : difficult to overcome"
"commandment",": the act or power of commanding : something that is commanded : one of the biblical Ten Commandments"
"commandments",": the act or power of commanding : something that is commanded : one of the biblical Ten Commandments"
"commando",": a military unit or command of the Boers : a raiding expedition : a military unit trained and organized as shock troops especially for hit-and-run raids into enemy territory : a member of such a unit"
"commandos",": a military unit or command of the Boers : a raiding expedition : a military unit trained and organized as shock troops especially for hit-and-run raids into enemy territory : a member of such a unit"
"commands",": to direct authoritatively : ORDER : to exercise a dominating influence over : have command of: such as : to have at one's immediate disposal : to demand or receive as one's due : to overlook or dominate from or as if from a strategic position : to have military command of as senior officer : to order or request to be given"
"commemorate",": to call to remembrance : to mark by some ceremony or observation : OBSERVE : to serve as a memorial of"
"commemorating",": to call to remembrance : to mark by some ceremony or observation : OBSERVE : to serve as a memorial of"
"commemoration",": the act of commemorating : something that commemorates"
"commemorative",": intended as a commemoration : issued in limited quantities for a limited time to honor or feature someone or something"
"commence",": to enter upon : BEGIN"
"commenced",": to enter upon : BEGIN"
"commencement",": an act, instance, or time of commencing : the ceremonies or the day for conferring degrees or diplomas : the period of activities at this time"
"commencing",": to enter upon : BEGIN"
"commend",": to entrust for care or preservation : to recommend as worthy of confidence or notice : to mention with approbation : PRAISE"
"commendable",": to entrust for care or preservation : to recommend as worthy of confidence or notice : to mention with approbation : PRAISE"
"commended",": to entrust for care or preservation : to recommend as worthy of confidence or notice : to mention with approbation : PRAISE"
"comment",": COMMENTARY : a note explaining, illustrating, or criticizing the meaning of a writing : an observation or remark expressing an opinion or attitude : a judgment expressed indirectly"
"commentaries",": an explanatory treatise : a record of events usually written by a participant : a systematic series of explanations or interpretations (as of a writing) : COMMENT sense 2 : something that serves for illustration or explanation : an expression of opinion"
"commentary","Definition not found"
"commentator","Definition not found"
"commentators","Definition not found"
"commented","Definition not found"
"commenting","Definition not found"
"comments","Definition not found"
"commerce","Definition not found"
"commercial","Definition not found"
"commercially","Definition not found"
"commercials","Definition not found"
"commission","Definition not found"
"commissioned","Definition not found"
"commissioner","Definition not found"
"commissioners","Definition not found"
"commissioning","Definition not found"
"commissions","Definition not found"
"commit","Definition not found"
"commitment","Definition not found"
"commitments",": an agreement or pledge to do something in the future : an engagement to assume a financial obligation at a future date : something pledged : the state or an instance of being obligated or emotionally impelled : an act of committing to a charge or trust: such as : a consignment to a penal or mental institution : an act of referring a matter to a legislative committee : MITTIMUS"
"commits",": to carry into action deliberately : PERPETRATE : OBLIGATE, BIND : to pledge or assign to some particular course or use : to reveal the views of : to put into charge or trust : ENTRUST : to place in a prison or mental institution : to consign or record for preservation : to put into a place for disposal or safekeeping : to refer (something, such as a legislative bill) to a committee for consideration and report"
"committed",": placed in confinement (as in a mental institution) : having made a pledge or commitment to someone (such as a romantic partner) or something (such as a cause) : characterized by such a pledge or commitment"
"committee",": a body of persons delegated to consider, investigate, take action on, or report on some matter : a group of fellow legislators chosen by a legislative body to give consideration to legislative matters : a self-constituted organization for the promotion of a common object : a group of players on a team who share a particular role in the team's play instead of having an individual player principally assigned to that role : a person to whom a charge or trust is committed"
"committees",": a body of persons delegated to consider, investigate, take action on, or report on some matter : a group of fellow legislators chosen by a legislative body to give consideration to legislative matters : a self-constituted organization for the promotion of a common object : a group of players on a team who share a particular role in the team's play instead of having an individual player principally assigned to that role : a person to whom a charge or trust is committed"
"committing",": to carry into action deliberately : PERPETRATE : OBLIGATE, BIND : to pledge or assign to some particular course or use : to reveal the views of : to put into charge or trust : ENTRUST : to place in a prison or mental institution : to consign or record for preservation : to put into a place for disposal or safekeeping : to refer (something, such as a legislative bill) to a committee for consideration and report"
"commodities",": an economic good: such as : a product of agriculture or mining : an article of commerce especially when delivered for shipment : a mass-produced unspecialized product : something useful or valued : THING, ENTITY : CONVENIENCE, ADVANTAGE : a good or service whose wide availability typically leads to smaller profit margins and diminishes the importance of factors (such as brand name) other than price : one that is subject to ready exchange or exploitation within a market : QUANTITY, LOT"
"commodity",": an economic good: such as : a product of agriculture or mining : an article of commerce especially when delivered for shipment : a mass-produced unspecialized product : something useful or valued : THING, ENTITY : CONVENIENCE, ADVANTAGE : a good or service whose wide availability typically leads to smaller profit margins and diminishes the importance of factors (such as brand name) other than price : one that is subject to ready exchange or exploitation within a market : QUANTITY, LOT"
"commodore",": a captain in the navy in command of a squadron : a commissioned officer in the navy formerly ranking above captain and below rear admiral and having an insignia of one star : the ranking officer commanding a body of merchant ships : the chief officer of a yacht club or boating association"
"common",": of or relating to a community at large : PUBLIC : known to the community : belonging to or shared by two or more individuals or things or by all members of a group : belonging equally to two or more mathematical entities : having two or more branches : occurring or appearing frequently : FAMILIAR : of the best known or most frequently seen kind : VERNACULAR sense 2 : WIDESPREAD, GENERAL : characterized by a lack of privilege or special status : just satisfying accustomed criteria : ELEMENTARY : falling below ordinary standards : SECOND-RATE : lacking refinement : COARSE : denoting nominal relations by a single linguistic form that in a more highly inflected language might be denoted by two or more different forms : of, relating to, or being common stock"
"commonly",": of or relating to a community at large : PUBLIC : known to the community : belonging to or shared by two or more individuals or things or by all members of a group : belonging equally to two or more mathematical entities : having two or more branches : occurring or appearing frequently : FAMILIAR : of the best known or most frequently seen kind : VERNACULAR sense 2 : WIDESPREAD, GENERAL : characterized by a lack of privilege or special status : just satisfying accustomed criteria : ELEMENTARY : falling below ordinary standards : SECOND-RATE : lacking refinement : COARSE : denoting nominal relations by a single linguistic form that in a more highly inflected language might be denoted by two or more different forms : of, relating to, or being common stock"
"commonplace",": commonly found or seen : ORDINARY, UNREMARKABLE"
"commons",": of or relating to a community at large : PUBLIC : known to the community : belonging to or shared by two or more individuals or things or by all members of a group : belonging equally to two or more mathematical entities : having two or more branches : occurring or appearing frequently : FAMILIAR : of the best known or most frequently seen kind : VERNACULAR sense 2 : WIDESPREAD, GENERAL : characterized by a lack of privilege or special status : just satisfying accustomed criteria : ELEMENTARY : falling below ordinary standards : SECOND-RATE : lacking refinement : COARSE : denoting nominal relations by a single linguistic form that in a more highly inflected language might be denoted by two or more different forms : of, relating to, or being common stock"
"commonwealth",": a nation, state, or other political unit: such as : one founded on law and united by compact or tacit agreement of the people for the common good : one in which supreme authority is vested in the people : REPUBLIC : a state of the U.S. : a political unit having local autonomy but voluntarily united with the U.S. : an association of self-governing autonomous states more or less loosely associated in a common allegiance (as to the British crown) : the English state from the death of Charles I in 1649 to the Restoration in 1660 : PROTECTORATE sense 1b : a federal union of constituent states : COMMONWEAL sense 2"
"commotion",": a condition of civil unrest or insurrection : steady or recurrent motion : mental excitement or confusion : an agitated disturbance : TO-DO : noisy confusion : AGITATION"
